;ANUARIO DE ESTADÍSTICA FORESTAL 2005;;;;;;;;;;;;
Superficie por uso, altitud y comunidad autónoma;;;;;;;;;;;;;
;;;;;;;;;;;;;
ANDALUCÍA;;;;;;;;;;;;;
Forestal desarbolado;441,22;36.138,66;45.910,39;35.228,27;20.231,73;13.615,30;4.390,31;627,97;110,84;156.694,69;;;
No forestal;5.162,42;201.277,51;226.674,05;46.285,83;13.264,80;8.157,02;3.109,09;2.731,36;3.247,70;509.909,78;;;
TOTAL;10.899,69;265.110,38;336.467,18;193.827,79;130.169,83;71.631,15;20.479,01;5.962,42;4.524,57;1.039.072,02;;;
;;;;;;;;;;;;;
COMUNIDAD VALENCIANA;;;;;;;;;;;;;
Usos;0 - 199;200 - 399;400 - 599;600 - 799;800 - 999;1.000 - 1.199;1.200 - 1.399;1.400 - 1.599;>= 1.600;Total;;;
Forestal arbolado;17.956,86;30.818,98;55.035,81;92.842,60;96.044,26;51.608,25;14.453,87;4.649,63;584,06;363.994,32;;;
Forestal arbolado ralo;21.681,58;35.758,90;54.965,16;74.089,31;55.848,65;18.681,87;2.619,69;623,96;16,23;264.285,35;;;
Forestal desarbolado;74.219,08;109.331,47;115.481,28;114.049,74;100.284,94;55.904,18;14.528,91;2.699,16;298,79;586.797,55;;;
No forestal;485.065,13;218.376,32;149.805,21;149.997,46;81.464,48;21.745,10;3.583,95;272,58;120,67;1.110.430,90;;;
TOTAL;598.922,65;394.285,67;375.287,46;430.979,11;333.642,33;147.939,40;35.186,42;8.245,33;1.019,75;2.325.508,12;;;
;;;;;;;;;;;;;
EXTREMADURA;;;;;;;;;;;;;
Usos;0 - 199;200 - 399;400 - 599;600 - 799;800 - 999;1.000 - 1.199;1.200 - 1.399;1.400 - 1.599;1.600 - 1.799;>= 1.800;Total;;
Forestal arbolado;14.836,40;326.004,43;283.952,41;123.240,98;38.742,28;16.118,53;5.918,00;1.253,11;4,29;0,00;810.070,43;;
Forestal arbolado ralo;15.332,37;336.770,25;252.845,82;27.719,24;7.882,56;4.723,23;2.144,61;102,08;0,19;0,00;647.520,35;;
Forestal desarbolado;8.719,38;396.460,88;283.650,34;66.021,49;24.682,70;11.894,80;10.067,59;8.364,96;5.648,99;5.485,36;820.996,49;;
No forestal;71.202,18;965.192,84;733.402,67;99.957,02;10.191,59;2.546,04;1.206,90;591,09;387,94;191,63;1.884.869,90;;
TOTAL;110.090,33;2.024.428,40;1.553.851,24;316.938,73;81.499,13;35.282,60;19.337,10;10.311,24;6.041,41;5.676,99;4.163.457,17;;
;;;;;;;;;;;;;
GALICIA;;;;;;;;;;;;;
Usos;0 - 199;200 - 399;400 - 599;600 - 799;800 - 999;1.000 - 1.199;1.200 - 1.399;1.400 - 1.599;>= 1.600;Total;;;
Forestal arbolado;204.476,45;297.818,91;315.214,85;128.928,02;56.557,91;23.562,46;14.472,25;3.814,58;531,31;1.045.376,74;;;
Forestal arbolado ralo;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
Forestal desarbolado;46.678,81;111.359,07;253.902,99;223.473,92;144.479,68;73.100,96;44.020,78;18.633,27;7.284,41;922.933,89;;;
No forestal;246.340,96;235.358,52;294.885,08;147.153,22;50.862,65;12.309,34;2.222,87;66,15;0,22;989.199,01;;;
TOTAL;497.496,22;644.536,50;864.002,92;499.555,16;251.900,24;108.972,76;60.715,90;22.514,00;7.815,94;2.957.509,64;;;
;;;;;;;;;;;;;
ILLES BALEARS;;;;;;;;;;;;;
Usos;0 - 199;200 - 399;400 - 599;600 - 799;>= 800;Total;;;;;;;
Forestal arbolado;79.301,11;29.803,70;6.860,20;5.561,82;948,33;122.475,16;;;;;;;
Forestal arbolado ralo;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;
Forestal desarbolado;52.957,39;11.514,33;9.065,92;3.592,06;4.297,21;81.426,91;;;;;;;
No forestal;275.943,52;15.455,79;3.412,52;361,33;92,93;295.266,09;;;;;;;
TOTAL;408.202,02;56.773,82;19.338,64;9.515,21;5.338,47;499.168,16;;;;;;;
;;;;;;;;;;;;;
LA RIOJA;;;;;;;;;;;;;
Usos;0 - 199;200 - 399;400 - 599;600 - 799;800 - 999;1.000 - 1.199;1.200 - 1.399;1.400 - 1.599;>= 1.600;Total;;;
Forestal arbolado;0,00;2.178,29;5.106,07;10.408,40;24.476,13;34.073,22;27.723,81;15.993,17;8.957,66;128.916,75;;;
Forestal arbolado ralo;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;
Forestal desarbolado;0,00;3.520,00;13.515,04;29.072,39;36.543,01;35.646,20;23.285,28;11.973,77;11.931,17;165.486,86;;;
No forestal;0,00;34.788,72;106.879,21;55.369,31;7.183,30;1.496,19;1.204,74;1.285,85;1.915,98;210.123,30;;;
TOTAL;0,00;40.487,01;125.500,32;94.850,10;68.202,44;71.215,61;52.213,83;29.252,79;22.804,81;504.526,91;;;
;;;;;;;;;;;;;
PAÍS VASCO;;;;;;;;;;;;;
Usos;0 - 199;200 - 399;400 - 599;600 - 799;800 - 999;>= 1.000;Total;;;;;;
Forestal arbolado;49.684,44;90.005,27;75.994,42;80.320,35;43.292,58;10.955,87;350.252,93;;;;;;
Forestal arbolado ralo;9.202,54;11.864,31;7.136,69;5.671,60;4.033,96;1.842,90;39.752,00;;;;;;
Forestal desarbolado;9.247,27;9.017,85;17.110,74;18.950,39;17.563,02;7.460,47;79.349,74;;;;;;
No forestal;79.560,73;42.397,54;88.993,93;35.417,33;6.667,25;1.090,46;254.127,24;;;;;;
TOTAL;147.694,98;153.284,97;189.235,78;140.359,67;71.556,81;21.349,70;723.481,91;;;;;;
;;;;;;;;;;;;;
PRINCIPADO DE ASTURIAS;;;;;;;;;;;;;
Usos;0 - 199;200 - 399;400 - 599;600 - 799;800 - 999;1.000 - 1.199;1.200 - 1.399;1.400 - 1.599;>= 1.600;Total;;;
Forestal arbolado;61.345,00;78.319,53;55.275,39;42.196,55;36.138,74;27.408,13;17.108,02;7.073,01;836,61;325.700,98;;;
Forestal arbolado ralo;4.613,12;9.743,64;9.095,37;9.108,16;3.521,14;2.215,87;2.220,64;1.479,98;430,36;42.428,28;;;
